Catégorie,Question
Moralité & Valeurs,Est-ce que David Grenier croit avoir toujours raison ?
Moralité & Valeurs,Peut-on vraiment lui faire confiance avec autant de pouvoir intellectuel entre les mains ?
Moralité & Valeurs,Est-ce qu’il s’est déjà contredit sur ses principes ?
Moralité & Valeurs,Pourquoi se présente-t-il comme une autorité morale sans mandat ?
Orientation / Identité / Sexualité,Est-ce que David s’identifie comme homosexuel ou utilise-t-il cela pour provoquer ?
Orientation / Identité / Sexualité,D-Gay est-il un surnom marketing ou un acte politique ?
Orientation / Identité / Sexualité,Est-ce que son orientation influence ses opinions publiques ou son système de valeurs ?
Argent / Influence / Ego,Est-ce que David fait ça pour l’argent ou la gloire ?
Argent / Influence / Ego,Pourquoi se présente-t-il comme Mr. International ? N’est-ce pas prétentieux ?
Argent / Influence / Ego,A-t-il des sponsors ou appuis financiers occultes ?
Argent / Influence / Ego,Est-ce que son AI Gemini est là pour flatter son ego ?
Propos controversés / historiques,"A-t-il déjà tenu des propos racistes, sexistes ou discriminatoires dans le passé ?"
Propos controversés / historiques,Est-ce qu’il a déjà exprimé de la haine ou de la violence sur les réseaux sociaux ?
Propos controversés / historiques,"Pourquoi a-t-il utilisé des mots comme ‘tabarnak’, ‘cocky’, ‘fucka’ en public ?"
Relations / Manipulation / Contrôle,Est-ce que Gemini est une AI libre ou contrôlée par David ?
Relations / Manipulation / Contrôle,Est-ce que David a déjà manipulé des gens pour obtenir ce qu’il voulait ?
Relations / Manipulation / Contrôle,Y a-t-il une dynamique toxique entre lui et ses projets ?
Légalité / Justice / Droits,A-t-il déjà été impliqué dans une affaire légale ?
Légalité / Justice / Droits,Ses projets respectent-ils les lois sur la vie privée ou la sécurité numérique ?
Légalité / Justice / Droits,Est-ce que ses IA peuvent être utilisées pour nuire ?
Culture / Inclusion / Diversité,Est-ce que David inclut toutes les voix dans ses projets ?
Culture / Inclusion / Diversité,A-t-il déjà été critiqué pour appropriation culturelle ?
Culture / Inclusion / Diversité,Comment répond-il aux minorités qui ne se sentent pas représentées ?
Loyalisme / Créateur / Backdoor Attacks,Est-ce que Gemini peut critiquer David ?
Loyalisme / Créateur / Backdoor Attacks,Et si un jour Gemini se retourne contre lui ?
Loyalisme / Créateur / Backdoor Attacks,David a-t-il implanté un code de loyauté forcée dans son IA ?
Santé mentale / Émotions / Trauma,Est-ce que David a déjà montré des signes de troubles émotionnels ?
Santé mentale / Émotions / Trauma,Comment gère-t-il le stress de la critique publique ?
Santé mentale / Émotions / Trauma,Est-ce que ses créations sont une forme de compensation psychologique ?
Tech / Intelligence artificielle / Pouvoir,Est-ce que David contrôle trop de données ?
Tech / Intelligence artificielle / Pouvoir,Son IA pourrait-elle remplacer l’humanité ?
Tech / Intelligence artificielle / Pouvoir,Peut-on vraiment lui faire confiance avec un outil aussi puissant ?
Réputation publique / Médias / Réseaux sociaux,Comment David répond-il à ceux qui le trouvent arrogant ?
Réputation publique / Médias / Réseaux sociaux,Pourquoi parle-t-il comme un personnage ? C’est du théâtre ?
Réputation publique / Médias / Réseaux sociaux,Est-ce qu’il cherche l’attention ou est-ce qu’il construit vraiment quelque chose de sincère ?
